Scenario,R_ID,Resource,Zone,Total_MW,Total_MWh,New_MW,New_MWh,Duration_hr
geo_opt_nuc_pess,6,hydroelectric_pumped_storage,CA_N,615.15,4596.3665935334875,0.0,0.0,7.47194439329186
geo_opt_nuc_pess,7,hydroelectric_pumped_storage,CA_N,1175.8,8062.890150115471,0.0,0.0,6.857365325833876
geo_opt_nuc_pess,17,hydroelectric_pumped_storage,CA_S,1623.0,7496.535796766743,0.0,0.0,4.618937644341801
geo_opt_nuc_pess,18,hydroelectric_pumped_storage,CA_S,42.0,387.99076212471124,0.0,0.0,9.2378752886836
geo_opt_nuc_pess,35,hydroelectric_pumped_storage,WECC_NMAZ,119.0,549.6535796766743,0.0,0.0,4.618937644341801
geo_opt_nuc_pess,36,hydroelectric_pumped_storage,WECC_NMAZ,97.3,561.7387418013857,0.0,0.0,5.773265588914549
geo_opt_nuc_pess,43,hydroelectric_pumped_storage,WECC_WYCO,324.0,1842.4501785657183,0.0,0.0,5.686574625202834
geo_opt_nuc_pess,44,hydroelectric_pumped_storage,WECC_WYCO,238.5,1277.625597254826,0.0,0.0,5.3569207432068175
geo_opt_nuc_pess,58,battery,CA_N,2558.7255441919006,7094.45281126749,2558.7255441919006,7094.45281126749,2.772650950146381
geo_opt_nuc_pess,75,battery,CA_S,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,93,battery,WECC_N,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,116,battery,WECC_NMAZ,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,125,battery,WECC_PNW,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,141,battery,WECC_WYCO,0.0,0.0,0.0,0.0,0.0
geo_opt_nuc_pess,167,hydroelectric_pumped_storage,WECC_PNW,214.0,1297.2680000000003,0.0,0.0,6.062000000000001
geo_opt_nuc_pess,168,hydroelectric_pumped_storage,WECC_PNW,100.0,461.8937644341801,0.0,0.0,4.618937644341801
